, Let
already, gone
also, had
altar, and
although, I
always, and
am, grateful
amen, My
amid, the
among, which
an, unmistakable
anchor, to
and, marvelous
angel, were
angels, It
angry, rhetoric
announce, three
announced, temples
answer, 
answered, My
answers, That
anticipate, rededicating
any, hearthearts
anyone, your
anything, that
anyway, It
appreciated, by
appreciation, for
approached, the
approaching, squadron
are, priceless
area, of
areas, and
arise, I
armor, a
arms, burning
around, us
arrived, at
as, we
aside, We
asked, Landon
asks, Which
assembled, here
assignment, determined
associate, with
associates, in
assurance, spoken
assure, you
at, a
atoning, sacrifice
attempt, to
attend, the
attended, the
attending, priesthood
attitudes, of
attribute, mentioned
attributes, togetherbeing
authority, of
avoid, offcolor
avoiding, words
await, us
awakened, the
awareness, of
away, from
back, into
bag, Leland
baptized, confirming
barracks, were
base, dispensary
battle, in
bay, The
be, so
beach, hoping
bear, our
bearer, of
bearers, of
beautiful, day
beautifully, The
beauty, and
became, discouraged
because, of
become, as
becomes, an
becoming, a
bedside, and
been, heard
before, construction
began, to
begin, my
beginning, of
begins, This
beguiling, voices
behaviors, and
behind, us
being, renovated
beliefs, that
believe, the
believer, attributes
believers, by
believing, and
belittling, voices
beloved, wife
benefit, He
beside, them
best, of
bestowed, upon
better, able
bid, me
binding, us
binds, us
birthday, and
bishopric, joined
bit, of
bless, us
blessed, gift
blesses, the
blessing, more
blessings, of
blind, to
bodies, We
body, is
bolster, our
bombers, and
book, to
books, and
both, here
bottom, of
bowels, 
boy, Leland
bravely, let
bread, to
break, without
breaking, commandments
breathing, was
brethren, may
briefly, He
bring, with
bringing, with
brings, with
broken, by
brothers, and
brought, me
buddy, in
build, up
building, of
built, in
bunka, Mormon
burdened, down
burn, within
burning, plane
busy, years
but, I
by, the
call, he
called, him
calling, I
callings, the
calls, us
calm, kindly
came, forth
can, find
cannot, think
cant, hurt
captain, the
care, for
carefully, the
cares, of
carry, you
casually, and
cat, answers
caused, the
causing, our
ceased, to
celebrate, that
celebration, was
celestial, room
center, of
certain, why
certainly, stand
chair, eyes
challenge, which
challenges, As
change, that
changed, it
chapel, That
chapter, 
characteristics, of
charitable, And
charity, towards
cherished, event
child, He
children, On
chink, in
choice, That
choiceif, we
choices, regarding
choose, whether
chosen, generation
church, and
circumstance, we
circumstances, and
classic, novel
clean, in
clear, indication
cleave, unto
climb, to
climbing, once
close, and
closed, and
clothing, would
clung, to
come, to
comes, from
comfort, I
comforting, and
coming, months
commanded, to
commandments, and
commenced, We
commented, that
comments, that
commit, adultery
committed, to
common, thread
companion, we
companions, gathered
compassion, The
completely, and
completing, previously
completion, For
complicated, Our
concentrated, our
concerning, his
concerns, he
conclude, this
conclusion, of
confer, the
conference, marks
confesses, by
confidence, wax
confident, there
confirmation, that
confirming, you
conflicts, of
confronted, by
confusing, voices
confusion, hearts
connected, with
conscience, and
conscientiously, the
consensus, May
consequences, which
consider, our
constant, companion
construction, begins
contagious, Eventually
contemplate, the
contemplated, his
contemplates, which
continued, obedience
conversation, in
converse, the
convictions, Life
correct, choice
cottage, but
could, have
counseled, Brother
count, Each
countless, blessings
coupled, with
courage, of
course, settings
covenants, binding
coworkers, mere
craft, picked
created, us
crew, members
cried, unto
crossroads, with
crowd, It
cultural, celebration
cunningly, calls
cup, of
curious, sailors
currently, have
custom, or
daily, The
dangling, at
dark, world
darkness, That
daughter, of
day, as
days, On
daywhether, to
deacon, teacher
deacons, quorum
dead, to
deaf, to
dealing, with
dear, friend
deceive, and
decent, and
deceptions, and
decide, not
decided, to
decisions, are
deck, A
dedicate, the
dedicated, in
dedicating, 
dedication, a
deep, gratitude
deeply, grateful
defense, against
defined, as
defy, the
degrading, remarks
delayed, for
demean, In
demeaning, and
departed, I
departing, ship
departure, for
dependent, upon
depends, on
depiction, of
depleted, as
deprive, you
depths, of
described, as
description, of
designs, of
desire, to
desired, minimum
desires, They
despair, and
desperate, prayer
desperately, needed
destination, in
destiny, I
destroying, their
destruction, if
detailed, and
determination, and
determine, our
determined, to
determining, needs
developed, a
devil, as
devour, Although
dews, from
did, you
died, to
differ, in
different, and
difficult, to
difficulties, we
diligently, that
dim, However
dimension, of
dimmed, and
directed, Then
direction, regarding
directions, As
disappeared, He
disappointed, that
disappointing, news
disciples, Said
discouraged, however
disobeying, the
dispel, the
dispensary, for
distil, upon
distort, the
distractions, and
district, performed
disturbed, Landon
divine, accolades
divinely, provided
do, to
doctrine, of
does, that
doesnt, matter
doing, we
done, in
dont, be
door, and
doors, of
doubt, cannot
down, with
dramatic, manifestation
drawn, to
dress, modestly
drink, As
drugs, alcohol
during, World
duties, and
duty, with
each, of
earlier, told
ears, shall
earth, has
easier, to
easily, provoked
eat, and
echo, the
effect, of
effective, defense
effort, to
efforts, on
elder, he
elderly, grandfather
emblems, of
embrace, it
emphatic, response
emptied, the
emulate, His
emulated, by
enables, us
encouragement, concerning
end, of
ended, if
ending, with
endureth, forever
engaged, in
enjoyable, and
enjoyed, the
enlarge, the
ennobling, thoughts
enough, to
enter, through
entered, the
enthusiasm, for
entire, Church
entitled, to
entrusted, with
envieth, not
epitome, of
errand, Let
especially, in
essence, of
essential, that
eternal, salvation
eternity, There
evacuate, as
evacuation, Since
even, the
evening, prior
event, may
ever, bestowed
everincreasing, pressures
everlasting, life
every, day
everyone, is
everything, back
everywhere, just
evil, so
examine, our
example, of
examples, in
excruciatingly, painful
exempt, from
exercise, constant
exercised, that
exist, in
existence, and
expected, of
expects, you
experience, as
experiences, the
explaining, his
explains, in
explanation, of
exposure, of
express, my
extend, my
extremity, had
eyes, of
face, may
faced, the
fact, that
fail, But
faileth, Wherefore
failure, He
fair, I
fairly, flew
faith, Heavenly
faithful, members
faithfully, observe
faithfulness, Said
familiar, to
families, and
family, and
far, However
farewell, Just
fasting, therefore
fate, John
father, of
favorite, poem
fear, the
fears, subsided
feeble, voice
feel, confusion
feeling, of
feet, on
fellow, servants
felt, deep
few, short
fighter, planes
filed, out
fill, our
filled, not
film, The
finally, see
find, peace
finding, locations
fine, The
finished, his
firm, and
firmly, planted
first, Easter
firsthand, of
fit, in
fixed, on
flame, And
flew, up
flow, through
follow, carefully
followeth, me
following, the
food, we
foolish, choices
foot, 
footsteps, Let
for, His
forever, How
forget, that
forgiveness, and
forgotten, the
formal, message
forth, from
found, in
founder, of
four, new
free, from
friend, You
friends, at
from, the
frustrate, us
fulfilling, and
full, of
fully, repent
further, away
gain, and
garnish, thy
gathered, their
gathering, of
gave, thanks
gaze, was
gear, and
general, priesthood
generation, a
gentleness, and
gently, touched
gift, of
gifts, to
give, unto
given, As
gives, us
giving, in
glorify, your
glorious, blessing
glory, we
gloryto, bring
glowing, fine
go, to
goal, for
goals, Although
goes, with
going, home
gone, by
good, experience
goodwill, These
gospel, A
grab, us
grandfather, and
granite, shaft
grasp, the
grateful, every
gratitude, for
grave, that
gravesite, of
great, and
greatest, happiness
greatly, enlarge
greeted, warmly
greetings, to
grief, hearts
grimly, contemplated
grip, he
gripped, by
grow, worse
growth, of
guard, and
guidance, from
guide, our
guided, in
guidelines, given
guiding, voice
guile, Brethren
had, been
hand, a
hands, on
handy, It
happen, The
happier, more
happiness, we
happy, that
hard, in
harder, right
harm, and
harmful, to
has, been
have, the
having, a
haze, of
he, had
head, after
headed, out
healed, completely
healing, power
health, challenge
healthy, living
hear, He
heard, and
hearing, the
heart, had
heartfelt, welcome
hearthearts, that
hearts, that
heaven, As
heavenly, home
heavens, help
heavy, radio
held, in
help, me
helping, them
her, husband
here, in
him, I
himself, up
hinges, and
his, mission
history, turns
hold, the
holder, of
holders, of
holds, the
holy, name
home, on
homes, and
honor, our
honored, by
hope, each
hopefully, be
hopeless, and
hoping, for
hosted, there
hosts, are
hour, before
hours, passed
household, of
houses, Now
how, grateful
however, he
human, heart
humble, prayer
humbly, in
humility, I
humor, and
hurried, to
hurt, anyone
hurting, their
husband, strayed
hymn, and
hypocrisy, and
if, I
ignore, How
ill, and
illuminate, our
illustrate, I
images, portrayed
imagined, that
immediate, evacuation
immediately, drawn
immense, The
immorality, are
immortality, and
imperative, therefore
implore, each
important, positions
impossible, to
impressed, that
improve, We
in, His
inclination, or
include, the
including, our
increasingly, dark
indeed, wherever
indication, of
individuals, who
infinitely, blessed
inflated, their
influence, all
influenced, instead
influences, with
informed, that
inquired, concerning
insecurity, of
inseparably, connected
insidious, influences
inspiration, which
inspire, my
inspired, teachings
inspiring, sessions
instead, by
instructed, Brother
intent, that
interested, in
interrupt, however
interview, I
interviews, I
into, the
iron, hand
is, who
isthen, Joseph
it, is
its, strength
jeopardy, by
joined, by
journey, I
joy, and
just, a
kamikaze, fighter
keep, you
keeping, our
kept, for
key, characteristics
keys, of
kind, of
kindly, tone
kindness, gratitude
kinds, of
knelt, at
knew, he
knocked, on
know, now
knowing, that
knowledge, I
known, He
knows, the
labored, The
lame, to
lamp, was
land, on
landing, craft
language, clean
lapse, in
large, part
last, day
later, the
laughed, and
laws, I
lead, you
leaders, read
leads, to
learn, of
learned, firsthand
lease, agreement
least, bit
leave, happy
leaving, the
leeway, in
left, where
legislation, or
lengthy, period
less, than
let, it
letter, to
lie, thou
lies, and
life, for
lifeand, he
lift, their
light, to
lighted, mine
lights, to
like, a
likely, be
lion, walketh
lips, I
listened, to
lists, six
little, in
live, by
lived, about
lives, we
living, an
located, throughout
locations, for
lonely, those
long, and
longer, postpone
look, at
looking, on
loss, of
lost, sheep
loud, voices
love, and
loved, and
loves, us
loving, Heavenly
lower, your
lowly, in
loyal, friends
m, rope
made, covenants
magnify, that
maintain, the
maintained, by
make, there
makes, us
man, would
mandate, to
mandatory, military
manifest, its
manifestation, concerning
mankind, As
manmade, philosophies
manner, in
mans, parting
many, blessings
marked, and
marks, seven
marveled, at
marvelous, gifts
matter, everyone
may, be
me, than
meaning, of
means, that
measure, up
media, choices
medical, leave
meek, and
meekness, and
meet, the
meeting, and
member, of
members, as
memorable, visits
memories, is
memory, the
men, prayed
mention, the
mentioned, to
mere, acquaintances
merely, to
merit, all
message, to
messages, of
met, a
mewith, an
might, know
mile, from
military, service
mind, and
minds, with
mine, My
minimum, exposure
minister, to
ministering, of
ministry, He
minutes, had
miracles, it
miss, them
mission, I
missionaries, were
missionary, His
moan, in
modestly, We
momentous, event
months, later
moralitychoices, which
more, precious
morning, bringing
mortal, journey
mortality, and
most, enjoyable
moves, further
movies, books
much, prayer
music, Bandied
must, do
my, beloved
name, amen
names, of
narrator, as
nationality, we
natural, to
navy, a
nearly, every
necessary, to
need, to
needed, As
needs, and
negative, experiences
neglect, these
neighbor, as
neither, of
never, could
new, assignment
newest, Apostles
newly, ordained
news, was
next, attribute
night, before
nightlight, There
no, blessing
none, of
nonetheless, worked
noproselyting, agreement
normal, and
not, certain
nothing, save
nourish, the
novel, Alices
now, that
nowhere, With
nurture, strong
obedience, to
obedient, to
obey, His
object, to
objective, was
observe, the
observing, the
obstacles, to
obtain, the
obtained, a
obviously, praying
occasion, as
occupy, the
ocean, He
of, gratitude
offcolor, humor
offend, May
offer, prayers
officials, who
often, difficult
oldfashioned, times
on, the
once, again
one, of
ones, they
ongoing, for
only, disappointing
onward, but
open, sea
opened, his
opening, hymn
operating, temples
operation, worldwide
opportunities, to
opportunity, to
opposite, is
or, priest
ordained, an
order, There
ordinances, Only
original, call
other, the
others, we
ought, to
our, Redeemer
ours, will
ourselves, As
out, his
outlined, one
over, 
overcome, those
overwhelming, causing
own, mission
pain, I
painful, but
parachuted, from
paralysis, had
paralyzed, and
parents, also
part, yours
partake, of
partially, paralyzed
participate, just
participating, in
particular, have
particularly, to
parting, words
pass, the
passages, in
passed, Finally
passing, from
past, we
path, once
paths, before
pause, to
paused, and
peace, and
peers, and
penetrating, words
people, that
peoples, lives
perfect, for
perfectly, knows
perform, This
performed, beautifully
perhaps, 
period, that
perish, After
permeate, any
permissions, needed
permissiveness, the
person, treats
personally, marked
persuasion, 
persuasive, voices
peruse, the
philosophies, of
physical, stamina
pick, us
picked, them
piece, of
place, in
placed, in
places, or
plague, of
plagues, of
plan, With
plane, inflated
planes, Orders
plans, for
plant, their
planted, our
plead, for
pleading, for
please, do
pleased, to
pledge, to
poem, I
poignant, and
point, neither
pollute, In
ponder, the
pondered, the
pondering, the
pornography, and
portion, of
portrayal, of
portrayed, A
posed, the
position, I
positions, to
possess, and
possessed, of
possible, have
possibly, count
postpone, the
poured, out
power, time
powerful, faith
powers, of
pray, humbly
prayed, together
prayer, of
prayerfully, study
prayers, of
praying, Landon
preceded, him
precepts, By
precious, to
premortal, existence
preparation, before
prepared, to
prerogative, of
presence, of
presentation, His
president, Paul
pressures, and
prevalent, in
prevent, his
previously, announced
priceless, One
pride, in
priest, from
priesthood, of
principles, and
prior, to
privilege, to
problems, will
proceeded, with
process, of
profanity, and
profusion, of
prohibits, the
promise, is
promised, Thine
promises, Said
prompted, In
prompting, He
prophecy, and
prophet, Isaiah
proselyting, would
protect, that
prove, to
provide, the
provided, us
provoked, 
psalm, The
puffed, up
pulling, himself
pure, in
purity, we
purpose, and
put, everything
qualified, to
qualify, to
qualities, will
questions, Where
quickly, emptied
quiet, but
quietly, I
quietness, and
quorum, leaders
radiate, the
radio, strapped
rafts, for
raised, the
rather, detailed
reach, our
reached, out
read, how
reading, and
real, Said
realize, that
realized, his
really, sick
reason, and
reassigned, to
reassuring, and
receive, from
received, as
recent, letter
recently, learned
recipients, of
recognize, how
recognized, and
recommended, to
record, and
records, I
rectangular, object
rededicate, temples
rededicating, 
reference, a
referenced, set
referring, to
reflect, on
regain, that
regard, As
regarding, moralitychoices
reiterate, what
reject, them
relentless, in
relentlessly, seeking
remain, worthy
remainder, of
remarked, that
remarks, We
remember, the
remembered, the
remove, the
renovated, and
repeat, from
repeatedlythat, in
repent, Though
repentance, made
replaced, by
replied, with
represent, a
required, of
rescue, vessel
rescuers, to
resist, temptation
resources, As
respect, Our
respite, from
response, Oh
responsibilities, the
responsibility, when
rest, for
restoration, of
restored, for
return, to
returned, from
returning, In
reunion, with
revealed, to
revelation, and
revere, the
reverence, and
rewards, which
rhetoric, Let
right, here
righteous, sons
righteousness, We
rights, of
roaring, lion
rob, you
room, his
rope, When
ropes, to
royal, priesthood
sacrament, meeting
sacred, altar
sacredness, of
sacrifice, for
sacrifices, of
saddened, by
safe, Disregard
safely, through
safety, breaking
said, quietly
sailors, looking
salvation, whom
same, mission
sanctuary, we
sat, in
save, it
saving, ordinances
saw, tears
say, to
saying, This
scarlet, they
scheduled, for
school, at
scriptural, knowledge
scripture, explains
scriptures, When
sea, He
seabag, I
search, and
searched, the
searching, interviews
season, on
second, scripture
secretary, of
section, 
see, When
seek, comfort
seeketh, not
seeking, for
seem, to
seemed, to
seen, its
send, someone
sent, home
serious, health
seriously, the
servants, in
serve, your
served, in
service, He
serving, in
session, he
sessions, The
set, of
settings, that
seven, years
several, minutes
shaft, which
shall, distil
shalt, love
share, with
shared, with
sharing, the
she, and
sheep, and
shine, for
shineth, in
shining, light
ship, headed
ships, Fortunately
shook, the
short, months
shortly, afterward
shot, down
should, speak
shoulder, The
show, commenced
showing, of
shutin, who
sick, With
side, of
significant, Likewise
silence, was
silently, for
similarly, love
sin, to
since, I
sincere, heart
singing, during
sins, be
sisters, in
sitting, on
six, attributes
slanderous, remarks
sleeping, like
slightest, bit
slippery, slope
slope, before
slow, and
small, volume
snow, And
so, I
solemn, occasion
solemnly, testify
some, comfort
someone, to
sometimes, difficult
son, needed
sons, of
sooner, you
sophisticated, voices
soul, as
souls, and
sound, understanding
speak, with
special, Sunday
specific, direction
sped, toward
sphere, of
spirit, of
spirits, The
spiritual, awareness
spirituality, and
spoke, with
spoken, of
spotted, what
sprang, up
squadron, of
stages, of
stake, president
stamina, promised
stand, alone
standards, Those
standing, in
staple, of
startled, that
station, to
stay, more
stayed, with
steal, thou
steps, of
still, praying
stood, to
stop, You
store, for
straightforward, It
strained, to
stranger, came
strangers, To
strapped, to
strayed, from
strength, I
stretching, onward
strive, to
strong, in
struggle, and
students, who
study, and
studying, the
stumbled, in
subsided, a
substances, which
substitute, the
successful, mission
successfully, parachuted
such, a
suffered, a
suffereth, long
sufficient, time
suggested, a
support, from
surge, of
surround, us
surrounded, the
sustain, us
sustained, as
take, the
talk, with
tall, granite
taught, with
teach, us
teacher, or
teachings, and
tear, down
tears, welled
telephone, my
television, movies
tell, us
telling, Him
tempest, sprang
temple, worship
temples, my
temptation, you
temptations, and
tempted, to
testifies, of
testify, that
testimonies, of
testimony, of
th, section
than, the
thanks, to
that, momentous
the, gift
their, son
them, had
themselves, to
then, Landon
there, we
therefore, when
therein, As
these, areas
they, began
thick, haze
things, which
think, of
thinking, recently
third, day
this, may
those, temptations
thou, an
though, an
thoughtlessly, Coarse
thoughts, turn
thread, binds
threat, to
three, new
through, the
throughout, the
throw, ropes
thus, be
thwart, our
thy, soul
thyself, and
time, than
times, worthy
titled, Missionary
to, us
today, there
together, again
togetherbeing, an
told, of
tolerance, and
tone, he
tonight, is
too, will
took, the
topic, about
total, strangers
touch, the
touched, his
touching, words
toward, the
towards, all
train, time
transcend, any
travelers, in
treacherous, mortal
treated, with
treats, others
trials, In
trouble, and
troubled, hearts
true, meaning
trueand, I
truly, a
trust, in
truth, for
truths, found
trying, to
tune, that
turmoil, of
turn, to
turned, to
turns, on
two, young
ultimate, goal
unceasingly, then
under, construction
understand, them
understanding, and
understands, that
understood, the
undertaken, by
unfeigned, By
unhappy, their
united, as
universal, questions
unless, we
unmistakable, prompting
unto, you
up, in
uplifting, and
upon, thy
us, That
usand, for
use, profanity
used, casually
valiant, and
various, stages
venturing, into
verse, 
very, mission
vessel, was
vigilance, in
vigilant, because
virtue, garnish
visa, was
visibly, touched
visit, would
visited, the
visitor, next
visits, we
vital, We
vivid, memories
voice, call
voices, I
volume, titled
vulnerable, Teenage
wait, After
walk, in
walked, into
walketh, about
want, to
wanted, to
ward, bishopric
warmly, and
warns, us
was, contagious
wasnt, going
water, that
wax, strong
waxed, strong
way, for
we, offer
weak, He
weeks, The
welcome, to
well, The
welled, up
were, comforting
what, we
whatever, circumstance
when, He
where, he
wherefore, he
wherever, temples
whether, they
which, my
while, ago
white, as
who, came
whom, shall
whose, name
whoso, is
why, As
wickedness, What
wife, Frances
will, be
wind, was
wisely, there
wish, to
with, Him
within, the
without, great
witness, in
witnessed, its
woman, who
women, everywhere
wonderful, gift
wont, matter
word, of
words, to
work, This
worked, hard
works, and
world, Inside
worldwide, with
worse, as
worship, that
worthy, Let
would, send
wound, or
wrinkled, The
written, by
wrong, As
wrought, Brethren
ye, sons
year, earlier
years, as
yet, feel
you, serve
young, mans
your, mission
yours, will
yourself, and
youth, from
